run,type,module,name,attrname,attrvalue,value
General-0-20250603-21:04:07-10628,runattr,,,configname,General,
General-0-20250603-21:04:07-10628,runattr,,,datetime,20250603-21:04:07,
General-0-20250603-21:04:07-10628,runattr,,,datetimef,20250603-210407,
General-0-20250603-21:04:07-10628,runattr,,,experiment,General,
General-0-20250603-21:04:07-10628,runattr,,,inifile,omnetpp.ini,
General-0-20250603-21:04:07-10628,runattr,,,iterationvars,,
General-0-20250603-21:04:07-10628,runattr,,,iterationvarsd,,
General-0-20250603-21:04:07-10628,runattr,,,iterationvarsf,,
General-0-20250603-21:04:07-10628,runattr,,,measurement,,
General-0-20250603-21:04:07-10628,runattr,,,network,Network,
General-0-20250603-21:04:07-10628,runattr,,,processid,10628,
General-0-20250603-21:04:07-10628,runattr,,,repetition,0,
General-0-20250603-21:04:07-10628,runattr,,,replication,#0,
General-0-20250603-21:04:07-10628,runattr,,,resultdir,results,
General-0-20250603-21:04:07-10628,runattr,,,runnumber,0,
General-0-20250603-21:04:07-10628,runattr,,,seedset,0,
General-0-20250603-21:04:07-10628,config,,,network,Network,
General-0-20250603-21:04:07-10628,config,,,sim-time-limit,200s,
General-0-20250603-21:04:07-10628,config,,,Network.node[0].app.interArrivalTime,exponential(1),
General-0-20250603-21:04:07-10628,config,,,Network.node[0].app.packetByteSize,125000,
General-0-20250603-21:04:07-10628,config,,,Network.node[0].app.destination,5,
General-0-20250603-21:04:07-10628,config,,,Network.node[2].app.interArrivalTime,exponential(1),
General-0-20250603-21:04:07-10628,config,,,Network.node[2].app.packetByteSize,125000,
General-0-20250603-21:04:07-10628,config,,,Network.node[2].app.destination,5,
General-0-20250603-21:04:07-10628,scalar,Network.node[0].app,Average delay,,,NaN
General-0-20250603-21:04:07-10628,scalar,Network.node[0].app,Number of packets,,,0
General-0-20250603-21:04:07-10628,scalar,Network.node[1].app,Average delay,,,NaN
General-0-20250603-21:04:07-10628,scalar,Network.node[1].app,Number of packets,,,0
General-0-20250603-21:04:07-10628,scalar,Network.node[2].app,Average delay,,,NaN
General-0-20250603-21:04:07-10628,scalar,Network.node[2].app,Number of packets,,,0
General-0-20250603-21:04:07-10628,scalar,Network.node[3].app,Average delay,,,NaN
General-0-20250603-21:04:07-10628,scalar,Network.node[3].app,Number of packets,,,0
General-0-20250603-21:04:07-10628,scalar,Network.node[4].app,Average delay,,,NaN
General-0-20250603-21:04:07-10628,scalar,Network.node[4].app,Number of packets,,,0
General-0-20250603-21:04:07-10628,scalar,Network.node[5].app,Average delay,,,51.159159092181
General-0-20250603-21:04:07-10628,scalar,Network.node[5].app,Number of packets,,,196
General-0-20250603-21:04:07-10628,scalar,Network.node[6].app,Average delay,,,NaN
General-0-20250603-21:04:07-10628,scalar,Network.node[6].app,Number of packets,,,0
General-0-20250603-21:04:07-10628,scalar,Network.node[7].app,Average delay,,,NaN
General-0-20250603-21:04:07-10628,scalar,Network.node[7].app,Number of packets,,,0
